time,StockID,price,StreamID,dataSetkey
2025-02-02 13:12:10,ForexALLNoExpiry,778.12,ForexALLNoExpiry,Forex
2024-10-27 22:20:39,ForexALLNoExpiry,860.65,ForexALLNoExpiry,Forex
2025-01-28 16:30:06,ForexALLNoExpiry,530.4,ForexALLNoExpiry,Forex
2025-01-26 20:11:35,ForexALLNoExpiry,772.89,ForexALLNoExpiry,Forex
2024-08-08 14:26:54,ForexALLNoExpiry,657.45,ForexALLNoExpiry,Forex
2024-08-15 14:31:20,ForexALLNoExpiry,480.58,ForexALLNoExpiry,Forex
2024-10-27 06:52:30,ForexALLNoExpiry,614.76,ForexALLNoExpiry,Forex
2024-03-22 21:55:22,ForexALLNoExpiry,927.17,ForexALLNoExpiry,Forex
2025-01-19 23:53:22,ForexALLNoExpiry,653.59,ForexALLNoExpiry,Forex
2024-09-30 07:45:00,ForexALLNoExpiry,380.69,ForexALLNoExpiry,Forex
2023-12-12 18:28:11,ForexALLNoExpiry,631.68,ForexALLNoExpiry,Forex
2024-02-18 20:37:31,ForexALLNoExpiry,651.34,ForexALLNoExpiry,Forex
2023-10-11 23:26:39,ForexALLNoExpiry,449.68,ForexALLNoExpiry,Forex
2024-12-13 23:13:50,ForexALLNoExpiry,900.73,ForexALLNoExpiry,Forex
2024-03-02 09:31:00,ForexALLNoExpiry,139.55,ForexALLNoExpiry,Forex
2024-12-08 01:12:58,ForexALLNoExpiry,334.67,ForexALLNoExpiry,Forex
2024-10-18 18:01:37,ForexALLNoExpiry,835.71,ForexALLNoExpiry,Forex
2023-07-11 12:23:06,ForexALLNoExpiry,461.61,ForexALLNoExpiry,Forex
2023-12-13 15:30:07,ForexALLNoExpiry,455.75,ForexALLNoExpiry,Forex
2024-09-07 08:53:34,ForexALLNoExpiry,696,ForexALLNoExpiry,Forex
2023-08-13 10:37:44,ForexALLNoExpiry,351.48,ForexALLNoExpiry,Forex
2024-05-03 23:08:07,ForexALLNoExpiry,511.96,ForexALLNoExpiry,Forex
2024-07-12 16:42:26,ForexALLNoExpiry,522.13,ForexALLNoExpiry,Forex
2024-09-25 06:25:59,ForexALLNoExpiry,264.81,ForexALLNoExpiry,Forex
2025-02-17 13:18:07,ForexALLNoExpiry,623.87,ForexALLNoExpiry,Forex
2024-01-07 01:35:39,ForexALLNoExpiry,489.44,ForexALLNoExpiry,Forex
2024-02-25 18:52:13,ForexALLNoExpiry,827.51,ForexALLNoExpiry,Forex
2023-07-03 02:33:25,ForexALLNoExpiry,592.36,ForexALLNoExpiry,Forex
2024-12-29 12:44:13,ForexALLNoExpiry,965.79,ForexALLNoExpiry,Forex
2023-08-16 16:56:00,ForexALLNoExpiry,430.1,ForexALLNoExpiry,Forex
2024-11-02 05:55:10,ForexALLNoExpiry,940.4,ForexALLNoExpiry,Forex
2024-01-13 09:07:39,ForexALLNoExpiry,248.98,ForexALLNoExpiry,Forex
2024-11-20 15:36:40,ForexALLNoExpiry,516.36,ForexALLNoExpiry,Forex
2024-11-28 06:54:56,ForexALLNoExpiry,174.52,ForexALLNoExpiry,Forex
2025-01-27 15:49:33,ForexALLNoExpiry,479.35,ForexALLNoExpiry,Forex
2024-07-02 02:42:48,ForexALLNoExpiry,138.21,ForexALLNoExpiry,Forex
2024-08-03 10:36:39,ForexALLNoExpiry,728.83,ForexALLNoExpiry,Forex
2024-04-30 17:16:01,ForexALLNoExpiry,814.08,ForexALLNoExpiry,Forex
2024-02-04 07:31:55,ForexALLNoExpiry,755.7,ForexALLNoExpiry,Forex
2024-10-08 09:49:44,ForexALLNoExpiry,476.84,ForexALLNoExpiry,Forex
2024-04-19 17:00:56,ForexALLNoExpiry,517.92,ForexALLNoExpiry,Forex
2025-01-20 00:27:11,ForexALLNoExpiry,515.02,ForexALLNoExpiry,Forex
2024-04-20 19:07:33,ForexALLNoExpiry,414.89,ForexALLNoExpiry,Forex
2023-08-29 09:04:37,ForexALLNoExpiry,501.98,ForexALLNoExpiry,Forex
2024-04-19 10:29:37,ForexALLNoExpiry,707.61,ForexALLNoExpiry,Forex
2023-06-26 10:13:26,ForexALLNoExpiry,905.65,ForexALLNoExpiry,Forex
2024-11-03 12:11:28,ForexALLNoExpiry,629.43,ForexALLNoExpiry,Forex
2024-05-27 05:46:21,ForexALLNoExpiry,594.39,ForexALLNoExpiry,Forex
2023-10-02 15:01:35,ForexALLNoExpiry,949.98,ForexALLNoExpiry,Forex
2024-02-29 05:35:14,ForexALLNoExpiry,644.72,ForexALLNoExpiry,Forex
2025-02-24 16:14:07,ForexALLNoExpiry,995.52,ForexALLNoExpiry,Forex
2024-11-23 21:29:52,ForexALLNoExpiry,548.37,ForexALLNoExpiry,Forex
2024-01-11 20:33:14,ForexALLNoExpiry,144.47,ForexALLNoExpiry,Forex
2023-08-16 13:59:19,ForexALLNoExpiry,245.64,ForexALLNoExpiry,Forex
2023-08-15 08:58:37,ForexALLNoExpiry,933.96,ForexALLNoExpiry,Forex
2024-01-16 14:55:30,ForexALLNoExpiry,676.07,ForexALLNoExpiry,Forex
2024-09-14 05:06:43,ForexALLNoExpiry,497.53,ForexALLNoExpiry,Forex
2023-10-05 04:33:05,ForexALLNoExpiry,760.81,ForexALLNoExpiry,Forex
2023-08-22 23:24:51,ForexALLNoExpiry,638.56,ForexALLNoExpiry,Forex
2025-01-27 23:32:51,ForexALLNoExpiry,947.55,ForexALLNoExpiry,Forex
2025-01-13 22:01:47,ForexALLNoExpiry,333.37,ForexALLNoExpiry,Forex
2023-07-11 08:53:15,ForexALLNoExpiry,262.28,ForexALLNoExpiry,Forex
2024-03-04 18:53:48,ForexALLNoExpiry,223.82,ForexALLNoExpiry,Forex
2024-07-29 01:59:14,ForexALLNoExpiry,317.69,ForexALLNoExpiry,Forex
2025-02-21 07:32:59,ForexALLNoExpiry,220.99,ForexALLNoExpiry,Forex
2023-12-11 22:38:09,ForexALLNoExpiry,841.79,ForexALLNoExpiry,Forex
2023-12-02 01:40:42,ForexALLNoExpiry,441.41,ForexALLNoExpiry,Forex
2025-02-24 18:52:57,ForexALLNoExpiry,745.47,ForexALLNoExpiry,Forex
2025-02-10 15:02:22,ForexALLNoExpiry,986.96,ForexALLNoExpiry,Forex
